,Cnsmr,Manuf,HiTec,Hlth ,Other
192607,   1.69,   1.42,   2.01,   2.45,   0.21
192608,   2.87,   2.27,   2.27,   6.11,   4.53
192609,  -0.90,  -0.33,   0.72,   0.80,  -0.53
192610,  -4.28,  -2.92,  -4.70,   0.13,  -2.51
192611,   3.48,   2.09,   1.36,   7.20,   0.85
192612,   1.98,   3.60,   1.49,   0.42,   1.23
192701,  -1.86,   1.37,   0.38,   6.13,   5.16
192702,   4.51,   5.69,   8.03,   2.47,   7.81
192703,  -2.17,  -2.84,  -0.94,  -0.20,   0.04
192704,   1.27,   0.21,   1.78,   5.80,   1.44
192705,   5.20,   6.86,   2.86,   4.79,   8.42
192706,  -2.47,  -2.71,   0.80,   3.64,  -1.25
192707,   6.33,   5.92,   6.80,   8.59,   4.56
192708,   1.70,   0.62,  -1.00,   0.15,  -1.69
192709,   2.28,   2.99,   4.48,   6.00,   3.98
192710,  -2.56,  -4.60,  -3.52,   5.15,  -4.51
192711,   8.79,  12.26,  12.42,   5.05,   7.67
192712,   3.81,   3.37,   1.53,  -1.42,   2.08
192801,   2.67,   4.08,   1.01,   1.45,   3.30
192802,  -2.19,  -2.39,  -0.02,  -1.89,  -3.03
192803,   7.91,   6.24,  11.24,   8.96,   6.19
192804,   4.57,  13.32,   4.31,   3.36,   7.37
192805,   4.69,   1.50,  10.86,   7.21,   5.11
192806,  -7.80,  -6.84,  -5.04,  -1.46,  -5.64
192807,   0.95,   0.45,   0.13,  -0.81,  -1.02
192808,   6.98,   5.68,   4.94,   9.38,   4.38
192809,   4.12,   7.25,   2.75,  -0.06,   3.60
192810,   2.92,   1.12,   2.80,   0.25,   0.00
192811,   9.78,  13.94,  13.24,   3.51,  10.70
192812,  -0.14,  -0.32,   2.64,  -0.48,  -1.11
192901,   1.13,   3.89,   7.45,   4.61,   5.55
192902,  -1.64,   1.65,   4.32,  -0.07,   1.29
192903,  -5.91,  -0.76,   6.27,  -0.50,  -4.32
192904,   1.04,   1.44,   3.37,   2.42,   1.59
192905,  -9.47, -10.25,  -4.89,  -6.92,  -6.35
192906,   5.77,  10.61,  12.11,   4.73,   5.28
192907,   0.41,   2.30,   7.16,   3.11,   2.75
192908,   0.56,   3.89,   6.60,  -0.54,   3.60
192909,  -4.80,  -4.13,  -2.47,  -5.78,  -4.46
192910, -21.13, -21.52, -24.17, -17.09, -15.46
192911, -13.53, -11.91, -18.57,  -4.68, -11.09
192912,  -4.36,  -2.86,   3.87,   4.01,  -0.42
193001,  11.00,  11.23,   8.69,   2.39,   9.77
193002,   2.49,   3.04,   6.99,   5.50,   4.35
193003,   8.18,  14.15,  10.13,   7.68,   7.05
193004,  -4.32,  -5.22,  -0.72,  -3.32,  -5.66
193005,  -3.53,  -4.19,  -6.21,  -1.81,  -3.35
193006, -18.41, -18.67, -22.40, -14.01, -16.67
193007,   3.26,   4.14,   6.34,   8.97,   3.12
193008,  -1.36,  -2.73,   0.51,   1.14,  -1.71
193009, -13.65, -16.09, -19.51,  -5.74, -15.20
193010,  -8.61, -10.96, -13.83,  -5.24,  -9.32
193011,   0.29,  -3.60,  -0.89,  -2.67,  -4.44
193012, -12.94, -14.80, -11.51,  -9.73, -14.36
193101,  13.57,  12.50,  13.73,   7.99,  18.92
193102,  16.52,  16.36,  21.36,  16.19,  11.64
193103,  -1.75,  -8.57,  -9.94,   0.65,  -9.11
193104, -14.31, -16.87, -15.16, -11.43, -14.15
193105, -11.20, -16.22, -11.48, -15.91, -16.31
193106,  13.64,  20.53,  15.64,  12.23,  22.86
193107,  -3.56,  -8.50,  -8.72,  -3.30,  -9.05
193108,  -1.89,  -0.55,  -2.02,  -1.10,  -4.37
193109, -29.35, -32.18, -34.96, -31.75, -28.12
193110,  10.21,  11.73,  12.18,  13.21,   4.81
193111,  -6.57,  -8.70, -10.70,  -9.05, -13.74
193112, -16.21, -18.54, -18.36, -11.51, -21.63
193201,   6.73,   6.29,   5.68,   0.98,  15.14
193202,   2.28,   2.27,   3.77,  -1.71,   1.56
193203, -11.89, -10.51, -13.92,  -8.89, -15.35
193204, -16.06, -18.00, -23.00, -13.65, -18.60
193205, -19.46, -19.05, -19.47, -26.30, -24.64
193206,   5.38,   4.12,   4.47,   5.88,   1.34
193207,  32.95,  46.22,  43.87,  30.86,  56.12
193208,  64.32,  64.55,  51.53,  40.14,  77.27
193209,  -2.96,  -6.66,  -6.48,  -2.82,  -7.73
193210, -15.98, -16.07, -17.80, -17.01, -18.10
193211,  -7.33,  -4.66,  -7.70,  -3.77, -10.25
193212,  -4.03,  -3.28,  -2.08,  -0.92,  -4.19
193301,   2.07,   2.45,   4.98,  -1.45,   7.70
193302, -14.71, -16.00, -15.98, -11.27, -16.37
193303,  13.45,  11.93,   8.29,   5.31,   3.14
193304,  52.86,  53.88,  51.90,  23.01,  41.66
193305,  59.60,  60.12,  46.22,  34.64,  65.74
193306,  25.41,  20.71,  15.64,   9.00,  22.65
193307, -11.08, -11.71,  -5.70, -18.42,  -2.23
193308,  11.28,  12.63,  14.40,   3.55,   7.59
193309, -14.97, -14.06, -14.00,  -7.25, -17.91
193310, -10.20, -10.51, -12.37,  -4.94, -11.62
193311,   6.54,   8.03,   9.13,   6.49,   3.22
193312,   2.28,   1.06,   8.97, -10.96,   1.28
193401,  32.68,  29.88,  32.47,  28.57,  35.82
193402,   2.94,   0.82,  -4.72,  -3.92,   0.96
193403,   1.91,  -0.48,   2.62,  -1.90,   0.41
193404,  -0.26,   0.07,  -2.14,   1.24,   0.07
193405, -10.99, -11.90,  -8.48,  -9.77,  -9.28
193406,  -0.40,   1.46,   3.89,   1.40,  -2.56
193407, -16.57, -18.92, -16.12, -12.43, -22.06
193408,   8.46,  10.51,   8.62,   2.43,  10.46
193409,   0.46,  -2.29,  -0.79,  -1.42,  -1.35
193410,   0.47,  -2.96,  -0.72,   1.82,  -4.70
193411,  14.29,  15.66,  14.20,   4.84,   6.31
193412,   1.80,   2.27,   0.16,   0.10,  -0.45
193501,  -3.74,  -2.11,  -4.65,  -1.53,  -4.35
